Which Cluster,Commandment,Bible Verse,Numerical Commandment Reference,Numerical Bible Verse Reference
4,Know there is a God ,EXO 20:2,441,168
5,Do not entertain thoughts of other gods besides God ,EXO 20:3,219,172
4,"Know that God is One, a complete Unity ",DEU 6:4,440,133
4,Love God ,DEU 6:5,453,134
0,Fear God reverently ,DEU 10:20,410,1
3,Sanctify God's Name ,LEV 22:32,517,341
1,Do not profane God's Name ,LEV 22:32,316,341
5,Do not destroy objects associated with God's Name ,DEU 12:4,166,12
4,Listen to the prophet speaking in God's Name ,DEU 18:15,452,51
0,Do not test God unduly ,DEU 6:16,372,132
0,Emulate God's ways ,DEU 28:9,399,127
5,Cleave to those who know God (and His Law),DEU 10:20,102,1
3,Love other covenant members ,LEV 19:18,454,299
4,Show love towards foreigners ,DEU 10:19,530,0
1,Do not hate fellow covenant members ,LEV 19:17,233,298
3,Reprove a neighbor who sins ,LEV 19:17,502,298
1,Do not embarrass others ,LEV 19:17,217,298
0,Do not oppress the stranger ,EXO 22:21,300,191
1,Do not gossip about others ,LEV 19:16,232,297
1,Do not take revenge ,LEV 19:18,367,299
2,Do not bear a grudge ,LEV 19:18,125,299
4,Learn the Law (Torah),DEU 6:7,442,135
3,Honor the wise and the aged (who know and teach God's Law),LEV 19:32,432,309
1,Do not inquire into idolatry ,LEV 19:4,260,312
1,Do not follow the whims of your heart or what your eyes see ,NUM 15:39,226,416
5,Do not curse God ,EXO 22:28,147,193
0,Do not worship idols in the manner they are worshiped ,EXO 20:5,389,174
0,Do not worship idols in the four ways we worship God ,EXO 20:5,388,174
0,Do not make an idol for yourself ,EXO 20:4,286,173
1,Do not make an idol for others ,LEV 19:4,285,312
0,Do not make human forms even for decorative purposes ,EXO 20:23,287,169
0,Do not turn a city to idolatry ,EXO 23:13,374,203
5,Burn a city that has turned to idol worship ,DEU 13:17,79,16
0,Do not rebuild an idolatrous city that has been burned ,DEU 13:17,327,16
5,Do not derive benefit from an idolatrous city ,DEU 13:18,161,17
5,Do not entice an individual to idol worship ,DEU 13:12,220,14
0,Do not love those who entice others into idolatry ,DEU 13:9,282,19
5,Do not cease hating an idolater ,DEU 13:9,136,19
0,Do not save an idolater from execution ,DEU 13:9,342,19
0,Do not say anything in an idolater's defense ,DEU 13:9,343,19
0,Do not refrain from incriminating an idolater ,DEU 13:9,331,19
0,Do not prophesy in the name of idolatry ,DEU 18:20,318,52
0,Do not listen to a false prophet ,DEU 13:4,280,18
0,Do not prophesy falsely in the name of God ,DEU 18:20,317,52
5,Do not be afraid of killing the false prophet ,DEU 18:22,123,53
0,Do not swear in the name of an idol ,EXO 23:13,364,203
1,Do not inquire of spirits,LEV 19:31,261,308
2,Do not consult magicians or seers,LEV 19:31,142,308
1,Do not pass your children through the fire to Molech ,LEV 18:21,303,284
5,Do not erect a pillar in a public place of worship ,DEU 16:22,221,39
2,Do not bow down on smooth stone ,LEV 26:1,128,376
0,Do not plant a tree in the Temple courtyard,DEU 16:21,308,38
5,Destroy idols and their accessories ,DEU 12:2,108,7
5,Do not derive benefit from idols and their accessories ,DEU 7:26,162,140
5,Do not derive benefit from ornaments of idols ,DEU 7:25,163,139
0,Do not make a covenant with idolaters ,DEU 7:2,284,138
0,Do not show favor to idolaters ,DEU 7:2,352,138
1,Do not let idolaters dwell in the Land of Israel ,EXO 23:33,279,209
1,Do not imitate idolaters in customs and clothing ,LEV 20:23,258,318
2,Do not be superstitious ,LEV 19:26,124,303
5,"Do not go into a trance to foresee events, etc",DEU 18:10,231,49
1,Do not engage in astrology ,LEV 19:26,218,303
0,Do not mutter incantations ,DEU 18:11,292,50
5,Do not attempt to contact the dead ,DEU 18:11,120,50
5,Do not consult ghosts or spirits,DEU 18:11,141,50
5,Do not consult magicians or wizards,DEU 18:11,143,50
0,Do not perform acts of magic ,DEU 18:10,304,49
3,Men must not shave the hair off the sides of their head ,LEV 19:27,458,304
3,Men must not shave their beards with a razor ,LEV 19:27,459,304
4,Men must not wear women's clothing ,DEU 22:5,460,85
4,Women must not wear men's clothing ,DEU 22:5,612,85
1,Do not tattoo the skin ,LEV 19:28,369,305
0,Do not tear or cut the skin in mourning ,DEU 14:1,370,20
0,Do not make a bald spot in mourning ,DEU 14:1,283,20
3,Repent and confess wrongdoings ,NUM 5:7,501,451
4,Recite the Shema twice daily ,DEU 6:7,490,135
4,Serve the Almighty [traditionally: with daily prayer] ,EXO 23:25,523,208
3,The priests must bless the Israelite nation daily ,NUM 6:23,599,452
4,Wear tefillin (phylacteries) on the head ,DEU 6:8,610,136
5,Bind tefillin on the arm ,DEU 6:8,57,136
4,Put the commandments on each door post ,DEU 6:9,487,137
0,Each male must write a scroll of the Law,DEU 31:19,394,129
4,The king must have a separate book of the Law for himself ,DEU 17:18,579,47
3,Have tzitzit on four-cornered garments ,NUM 15:38,427,415
5,Bless the Almighty after eating ,DEU 8:10,58,142
2,Circumcise all males on the eighth day after their birth ,LEV 12:3,101,252
4,Rest on the seventh day Sabbath,EXO 23:12,510,202
5,Do not do prohibited labor on the seventh day Sabbath,EXO 20:10,175,162
4,The court must not inflict punishment on the Sabbath,EXO 35:3,555,231
0,Do not walk outside the city boundary on the Sabbath,EXO 16:29,375,161
4,Sanctify the Sabbath (in speech) from beginning to end,EXO 20:8,518,176
2,Do not do prohibited labor on the Day of Atonement,LEV 23:32,169,351
3,Rest from prohibited labor on the Day of Atonement,LEV 23:32,504,351
2,Afflict yourself on the Day of Atonement,LEV 16:29,41,269
1,Do not eat or drink on the Day of Atonement,LEV 23:29,201,350
3,Rest on the first day of Passover,LEV 23:7,509,356
2,Do not do prohibited labor on the first day of Passover ,LEV 23:7,172,356
3,Rest on the seventh day of Passover,LEV 23:8,511,357
2,Do not do prohibited labor on the seventh day of Passover ,LEV 23:8,176,357
3,Rest on the Feast of Weeks,LEV 23:21,507,347
2,Do not do prohibited labor on the Feast of Weeks ,LEV 23:21,171,347
3,Rest on the Feast of Trumpets,LEV 23:24,506,348
2,Do not do prohibited labor on the Feast of Trumpets,LEV 23:25,170,349
3,Rest on the Feast of Tabernacles,LEV 23:35,505,352
2,Do not do prohibited labor on the first day of the Feast of Tabernacles ,LEV 23:35,173,352
3,Rest on the eighth day of the Feast of Tabernacles,LEV 23:36,508,353
2,Do not do prohibited labor on the last day of the Feast of Tabernacles,LEV 23:36,174,353
5,Do not eat leavened food on the afternoon of the 14th day of Nisan,DEU 16:3,189,40
5,Destroy all leaven on 14th day of Nisan ,EXO 12:15,107,144
5,Do not eat leaven all seven days of Passover,EXO 13:3,188,158
5,Do not eat mixtures containing leaven all seven days of Passover ,EXO 12:20,193,148
0,Do not see leaven in your domain seven days during Passover ,EXO 13:7,344,159
5,Do not find leaven in your domain seven days during Passover ,EXO 12:19,225,146
0,Eat unleavened bread on the first night of Passover ,EXO 12:18,398,145
4,Relate the Exodus from Egypt on the fIrst night Passover ,EXO 13:8,495,160
3,Hear the ram's horn on the Feast of Trumpets ,NUM 29:1,429,435
3,Dwell in a temporary shelter for the seven days of the Feast of Tabernacles,LEV 23:42,391,355
3,Take up a Lulav and Etrog all seven days of the Feast of Tabernacles ,LEV 23:40,536,354
0,Each male Israelite must give a half shekel annually ,EXO 30:13,393,222
4,The month of Passover (Nisan) shall be the first month,EXO 12:2,588,147
3,Sound the ram's horn when going to war,NUM 10:9,534,413
4,Marry a wife by means of a marriage agreement and sanctification,DEU 22:13,457,78
0,Do not have sexual relations with women not married by means of a marriage agreement and sanctification,DEU 23:18,243,95
0,"Do not withhold food, clothing, and sexual relations from your wife ",EXO 21:10,378,177
3,Have children with one's wife ,GEN 1:28,426,232
4,"Issue a divorce by means of a ""get"" document",DEU 24:1,434,104
5,A man must not remarry his ex-wife after she has married someone else,DEU 24:4,14,112
5,A man must marry the widow of his childless brother,DEU 25:5,12,122
